+124000000000.0ns POS: x=508.4, y=472.466, z=0; VEL:0, y=-10.98, z=0
+125000000000.0ns POS: x=492.312, y=505.2, z=0; VEL:2.58, y=2.35733e-06, z=0
+125000000000.0ns POS: x=508.4, y=461.486, z=0; VEL:0, y=-11.18, z=0
+126000000000.0ns POS: x=494.892, y=505.2, z=0; VEL:0.09, y=6.49401e-08, z=0
+126000000000.0ns POS: x=508.4, y=450.306, z=0; VEL:0, y=-11.88, z=0
+127000000000.0ns POS: x=494.982, y=505.2, z=0; VEL:0.07, y=4.18429e-08, z=0
+127000000000.0ns POS: x=508.4, y=438.426, z=0; VEL:0, y=-11.67, z=0
+128000000000.0ns POS: x=495.052, y=505.2, z=0; VEL:0.01, y=5.80579e-09, z=0
+128000000000.0ns POS: x=508.4, y=426.756, z=0; VEL:0, y=-11.18, z=0
+129000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+129000000000.0ns POS: x=508.4, y=415.576, z=0; VEL:0, y=-12, z=0
+130000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+130000000000.0ns POS: x=508.4, y=403.576, z=0; VEL:0, y=-12.14, z=0
+131000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+131000000000.0ns POS: x=508.4, y=391.436, z=0; VEL:0, y=-11.13, z=0
+132000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+132000000000.0ns POS: x=508.4, y=380.306, z=0; VEL:0, y=-11.45, z=0
+133000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+133000000000.0ns POS: x=508.4, y=368.856, z=0; VEL:-2.97082, y=-11.6471, z=0
+134000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+134000000000.0ns POS: x=505.429, y=357.208, z=0; VEL:-0.213414, y=-12.1881, z=0
+135000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+135000000000.0ns POS: x=505.216, y=345.02, z=0; VEL:-0.0146148, y=-11.31, z=0
+136000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+136000000000.0ns POS: x=505.201, y=333.71, z=0; VEL:-0.00106312, y=-10.95, z=0
+137000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+137000000000.0ns POS: x=505.2, y=322.76, z=0; VEL:-8.11347e-05, y=-11.63, z=0
+138000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+138000000000.0ns POS: x=505.2, y=311.13, z=0; VEL:-5.8405e-06, y=-11.93, z=0
+139000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+139000000000.0ns POS: x=505.2, y=299.2, z=0; VEL:-4.09392e-07, y=-11.74, z=0
+140000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+140000000000.0ns POS: x=505.2, y=287.46, z=0; VEL:-2.91803e-08, y=-11.85, z=0
+141000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+141000000000.0ns POS: x=505.2, y=275.61, z=0; VEL:-2.05982e-09, y=-11.79, z=0
+142000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+142000000000.0ns POS: x=505.2, y=263.82, z=0; VEL:-1.45485e-10, y=-11.1, z=0
+143000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+143000000000.0ns POS: x=505.2, y=252.72, z=0; VEL:-1.09498e-11, y=-11.16, z=0
+144000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+144000000000.0ns POS: x=505.2, y=241.56, z=0; VEL:-7.90541e-13, y=-11.46, z=0
+145000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+145000000000.0ns POS: x=505.2, y=230.1, z=0; VEL:-5.28677e-14, y=-11.84, z=0
+146000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+146000000000.0ns POS: x=505.2, y=218.26, z=0; VEL:0, y=-11.2, z=0
+147000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+147000000000.0ns POS: x=505.2, y=207.06, z=0; VEL:0, y=-11.32, z=0
+148000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+148000000000.0ns POS: x=505.2, y=195.74, z=0; VEL:0, y=-12.23, z=0
+149000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+149000000000.0ns POS: x=505.2, y=183.51, z=0; VEL:0, y=-11.81, z=0
+150000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+150000000000.0ns POS: x=505.2, y=171.7, z=0; VEL:0, y=-11.2, z=0
+151000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+151000000000.0ns POS: x=505.2, y=160.5, z=0; VEL:0, y=-11.45, z=0
+152000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+152000000000.0ns POS: x=505.2, y=149.05, z=0; VEL:0, y=-10.99, z=0
+153000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+153000000000.0ns POS: x=505.2, y=138.06, z=0; VEL:0, y=-11.43, z=0
+154000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+154000000000.0ns POS: x=505.2, y=126.63, z=0; VEL:0, y=-11.9, z=0
+155000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+155000000000.0ns POS: x=505.2, y=114.73, z=0; VEL:0, y=-11.43, z=0
+156000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+156000000000.0ns POS: x=505.2, y=103.3, z=0; VEL:0, y=-12.2, z=0
+157000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+157000000000.0ns POS: x=505.2, y=91.1004, z=0; VEL:0, y=-10.96, z=0
+158000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+158000000000.0ns POS: x=505.2, y=80.1404, z=0; VEL:0, y=-11.18, z=0
+159000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+159000000000.0ns POS: x=505.2, y=68.9604, z=0; VEL:0, y=-11.18, z=0
+160000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+160000000000.0ns POS: x=505.2, y=57.7804, z=0; VEL:0, y=-11.34, z=0
+161000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+161000000000.0ns POS: x=505.2, y=46.4404, z=0; VEL:0, y=-11.47, z=0
+162000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+162000000000.0ns POS: x=505.2, y=34.9704, z=0; VEL:0, y=-11.86, z=0
+163000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+163000000000.0ns POS: x=505.2, y=23.1104, z=0; VEL:0, y=-11.7, z=0
+164000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+164076954870.0ns POS: x=505.2, y=10.51, z=0; VEL:0, y=0, z=0
+165000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+166000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+167000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+168000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+169000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+170000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+171000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+172000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+173000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+174000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+175000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+176000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+177000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+178000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+179000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+180000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+181000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+182000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+183000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+184000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+185000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+186000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+187000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+188000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+189000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+190000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+191000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+192000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+193000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+194000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:0, y=0, z=0
+195000000000.0ns POS: x=495.062, y=505.2, z=0; VEL:1.79, y=1.65062e-07, z=0
+196000000000.0ns POS: x=496.852, y=505.2, z=0; VEL:3.98, y=2.8861e-08, z=0
+197000000000.0ns POS: x=500.832, y=505.2, z=0; VEL:5.65, y=2.18671e-09, z=0
+198000000000.0ns POS: x=506.482, y=505.2, z=0; VEL:7.65, y=1.14876e-10, z=0
+199000000000.0ns POS: x=514.132, y=505.2, z=0; VEL:9.04, y=4.20023e-12, z=0
+200000000000.0ns POS: x=523.172, y=505.2, z=0; VEL:11.01, y=1.11084e-13, z=0
+201000000000.0ns POS: x=534.182, y=505.2, z=0; VEL:11.22, y=0, z=0
+201000000000.0ns POS: x=1004.9, y=518, z=0; VEL:0, y=0, z=0
+202000000000.0ns POS: x=545.402, y=505.2, z=0; VEL:10.61, y=0, z=0
+202000000000.0ns POS: x=1004.9, y=518, z=0; VEL:-2.25, y=0, z=0
+203000000000.0ns POS: x=1002.65, y=518, z=0; VEL:0, y=0, z=0
+203000000000.0ns POS: x=556.012, y=505.2, z=0; VEL:10.29, y=0, z=0
+203000000000.0ns POS: x=1002.65, y=518, z=0; VEL:-4.42, y=0, z=0
+204000000000.0ns POS: x=998.23, y=518, z=0; VEL:0, y=0, z=0
+204000000000.0ns POS: x=566.302, y=505.2, z=0; VEL:10.24, y=0, z=0
+204000000000.0ns POS: x=998.23, y=518, z=0; VEL:-6.24, y=0, z=0
+204998397435.0ns POS: x=992, y=518, z=0; VEL:0, y=0, z=0
+205000000000.0ns POS: x=576.542, y=505.2, z=0; VEL:10.41, y=0, z=0
+205000000000.0ns POS: x=992, y=518, z=0; VEL:-8.2, y=0, z=0
+206000000000.0ns POS: x=586.952, y=505.2, z=0; VEL:11.34, y=0, z=0
+206000000000.0ns POS: x=983.8, y=518, z=0; VEL:-10.39, y=0, z=0
+207000000000.0ns POS: x=973.41, y=518, z=0; VEL:0, y=0, z=0
+207000000000.0ns POS: x=598.292, y=505.2, z=0; VEL:10.94, y=0, z=0
+207000000000.0ns POS: x=973.41, y=518, z=0; VEL:-11.91, y=0, z=0
+208000000000.0ns POS: x=609.232, y=505.2, z=0; VEL:10.71, y=0, z=0
+208000000000.0ns POS: x=961.5, y=518, z=0; VEL:-14.33, y=0, z=0
+209000000000.0ns POS: x=619.942, y=505.2, z=0; VEL:10.27, y=0, z=0
+209000000000.0ns POS: x=947.17, y=518, z=0; VEL:-16.37, y=0, z=0
+210000000000.0ns POS: x=630.212, y=505.2, z=0; VEL:10.66, y=0, z=0
+210000000000.0ns POS: x=930.8, y=518, z=0; VEL:-17.78, y=0, z=0
+211000000000.0ns POS: x=640.872, y=505.2, z=0; VEL:10.94, y=0, z=0
+211000000000.0ns POS: x=913.02, y=518, z=0; VEL:-19.1, y=0, z=0
+212000000000.0ns POS: x=651.812, y=505.2, z=0; VEL:10.07, y=0, z=0
+212000000000.0ns POS: x=893.92, y=518, z=0; VEL:-18.91, y=0, z=0
+213000000000.0ns POS: x=661.882, y=505.2, z=0; VEL:11, y=0, z=0
+213000000000.0ns POS: x=875.01, y=518, z=0; VEL:-18.82, y=0, z=0
+214000000000.0ns POS: x=672.882, y=505.2, z=0; VEL:10.28, y=0, z=0
+214000000000.0ns POS: x=856.19, y=518, z=0; VEL:-18.53, y=0, z=0
+215000000000.0ns POS: x=683.162, y=505.2, z=0; VEL:10.1558, y=-3.00134, z=0
+215000000000.0ns POS: x=837.66, y=518, z=0; VEL:-18.51, y=0, z=0
+216000000000.0ns POS: x=693.318, y=502.199, z=0; VEL:10.6084, y=-0.186791, z=0
+216000000000.0ns POS: x=819.15, y=518, z=0; VEL:-18.64, y=0, z=0
+217000000000.0ns POS: x=703.926, y=502.012, z=0; VEL:10.54, y=-0.0111619, z=0
+217000000000.0ns POS: x=800.51, y=518, z=0; VEL:-18.77, y=0, z=0
+218000000000.0ns POS: x=714.466, y=502.001, z=0; VEL:10.8, y=-0.000662312, z=0
+218000000000.0ns POS: x=15.1, y=502, z=0; VEL:0, y=0, z=0
+218000000000.0ns POS: x=781.74, y=518, z=0; VEL:-18.97, y=0, z=0
+219000000000.0ns POS: x=725.266, y=502, z=0; VEL:10.26, y=-3.82367e-05, z=0
+219000000000.0ns POS: x=15.1, y=502, z=0; VEL:1.51, y=0, z=0
+219000000000.0ns POS: x=762.77, y=518, z=0; VEL:-18.94, y=0, z=0
+220000000000.0ns POS: x=16.61, y=502, z=0; VEL:0, y=0, z=0
+220000000000.0ns POS: x=735.526, y=502, z=0; VEL:10.73, y=-2.32783e-06, z=0
+220000000000.0ns POS: x=16.61, y=502, z=0; VEL:3.47, y=0, z=0
+220000000000.0ns POS: x=743.83, y=518, z=0; VEL:-19.55, y=0, z=0
